,BlackRock Multi-Asset Income Portfolio,iShares iBoxx $ High Yield Corporate Bond ETF,BlackRock Equity Dividend Fund,iShares 20+ Year Treasury Bond ETF,Vanguard Equity-Income Fund Investor Shares,Cash
2018-09-14,8.528938293457031,68.51461791992188,13.638166427612305,107.70079803466797,27.475385665893555,22.16175346437503
2018-09-17,8.521008491516113,68.46701049804688,13.626720428466797,107.70079803466797,27.482555389404297,22.165248561166425
2018-09-18,8.528938293457031,68.45906829833984,13.689678192138672,106.57431030273438,27.58301544189453,22.16641371591625
2018-09-19,8.528938293457031,68.33206176757812,13.72973918914795,105.93834686279297,27.597368240356445,22.16757893191446
2018-09-20,8.544788360595703,68.42732238769531,13.83275318145752,106.428955078125,27.819807052612305,22.16874420916427
2018-09-21,8.544788360595703,68.44319152832031,13.849924087524414,106.38349914550781,27.8884334564209,22.1699095476689
2018-09-24,8.528938293457031,68.41145324707031,13.764079093933105,106.11094665527344,27.664514541625977,22.17340593074392
2018-09-25,8.528938293457031,68.35588073730469,13.724011421203613,106.00193786621094,27.541719436645508,22.17457758504772
2018-09-26,8.521008491516113,68.42732238769531,13.649616241455078,106.74693298339844,27.411705017089844,22.175749301262343
2018-09-27,8.536864280700684,68.55431365966797,13.66678237915039,106.81957244873047,27.404481887817383,22.17692107939106
2018-09-28,8.563126564025879,68.6019058227539,13.62099838256836,106.5379409790039,27.433372497558594,22.17824471218923
2018-10-01,8.571084976196289,68.80042266845703,13.695396423339844,105.7558364868164,27.541719436645508,22.182216084609905
2018-10-02,8.563126564025879,68.74462890625,13.678230285644531,106.40229797363281,27.621173858642578,22.18354003344124
2018-10-03,8.563126564025879,68.56126403808594,13.70684814453125,104.55396270751953,27.642839431762695,22.184864061292654
2018-10-04,8.523330688476562,68.30615234375,13.695396423339844,103.81645202636719,27.61394500732422,22.186188168168865
2018-10-05,8.507413864135742,68.00320434570312,13.643890380859375,102.92412567138672,27.520048141479492,22.18751235407459
2018-10-08,8.507413864135742,67.85169219970703,13.655336380004883,102.57813262939453,27.621173858642578,22.191485386016023
2018-10-09,8.499457359313965,67.95538330078125,13.626720428466797,103.61613464355469,27.534502029418945,22.192809888086973
2018-10-10,8.443745613098145,67.46905517578125,13.311949729919434,103.3338623046875,26.891639709472656,22.194134469211026
2018-10-11,8.403960227966309,67.52485656738281,13.005365371704102,104.59037017822266,26.21267318725586,22.195459129392894
2018-10-12,8.41987419128418,67.88363647460938,13.103150367736816,104.22618103027344,26.35713005065918,22.196783868637308
2018-10-15,8.411916732788086,67.83576202392578,13.068639755249023,104.18067932128906,26.299345016479492,22.20075856079296
2018-10-16,8.45170783996582,68.06700897216797,13.292970657348633,104.41737365722656,26.682170867919922,22.202083616334708
2018-10-17,8.443745613098145,67.93144989013672,13.315977096557617,103.79822540283203,26.739953994750977,22.203408750962595
2018-10-18,8.411916732788086,67.64444732666016,13.172175407409668,103.76177978515625,26.494365692138672,22.204740043643348
2018-10-19,8.403960227966309,67.68428802490234,13.195183753967285,103.53418731689453,26.54492950439453,22.20607141614699
2018-10-22,8.395999908447266,67.71619415283203,13.039878845214844,103.39759826660156,26.342687606811523,22.2100660126431
2018-10-23,8.372124671936035,67.65240478515625,12.959352493286133,103.72539520263672,26.176555633544922,22.21139770448616
2018-10-24,8.332334518432617,67.31757354736328,12.642989158630371,104.5084457397461,25.620370864868164,22.212735557325303
2018-10-25,8.348248481750488,67.45310974121094,12.786787986755371,104.07138061523438,25.86595916748047,22.21407349074696
2018-10-26,8.324376106262207,67.15022277832031,12.63148307800293,104.69964599609375,25.598703384399414,22.215411504755988
