,T,r,mu,sigma,S0,K,Price
9234,1.0,0.0,0.18,0.4,150.0,119.99999999999999,45.7459746705191
9235,1.0,0.0,0.18,0.4,150.0,135.0,32.981779549489886
9236,1.0,0.0,0.18,0.4,150.0,150.0,22.615786512934967
9237,1.0,0.0,0.18,0.4,150.0,165.0,15.492898075094418
9238,1.0,0.0,0.18,0.4,150.0,180.00000000000003,9.482915906092297
9239,1.0,0.0,0.18,0.4,150.0,195.0,5.962686268106065
9240,1.0,0.0,0.24,0.05,50.0,35.0,21.514554536997387
9241,1.0,0.0,0.24,0.05,50.0,40.0,16.52014239996304
9242,1.0,0.0,0.24,0.05,50.0,45.0,11.50599737021663
9243,1.0,0.0,0.24,0.05,50.0,50.0,6.493523220501807
9244,1.0,0.0,0.24,0.05,50.0,55.00000000000001,1.6712000747449136
9245,1.0,0.0,0.24,0.05,50.0,60.00000000000001,0.013549809750159056
9246,1.0,0.0,0.24,0.05,50.0,65.0,0.0
9247,1.0,0.0,0.24,0.05,61.111111111111114,42.77777777777778,26.294085580778006
9248,1.0,0.0,0.24,0.05,61.111111111111114,48.888888888888886,20.170049304854736
9249,1.0,0.0,0.24,0.05,61.111111111111114,55.00000000000001,14.071488324355032
9250,1.0,0.0,0.24,0.05,61.111111111111114,61.111111111111114,7.977331644561076
9251,1.0,0.0,0.24,0.05,61.111111111111114,67.22222222222223,2.0290657260403453
9252,1.0,0.0,0.24,0.05,61.111111111111114,73.33333333333334,0.015862887975596936
9253,1.0,0.0,0.24,0.05,61.111111111111114,79.44444444444446,0.0
9254,1.0,0.0,0.24,0.05,72.22222222222223,50.55555555555556,31.06257763343721
9255,1.0,0.0,0.24,0.05,72.22222222222223,57.77777777777778,23.820868800518838
9256,1.0,0.0,0.24,0.05,72.22222222222223,65.00000000000001,16.649846819299746
9257,1.0,0.0,0.24,0.05,72.22222222222223,72.22222222222223,9.43195286661016
9258,1.0,0.0,0.24,0.05,72.22222222222223,79.44444444444446,2.450214309718601
9259,1.0,0.0,0.24,0.05,72.22222222222223,86.66666666666669,0.023776787169851234
9260,1.0,0.0,0.24,0.05,72.22222222222223,93.8888888888889,0.0
9261,1.0,0.0,0.24,0.05,83.33333333333333,58.33333333333333,35.850766034731556
9262,1.0,0.0,0.24,0.05,83.33333333333333,66.66666666666666,27.513086383829638
9263,1.0,0.0,0.24,0.05,83.33333333333333,75.0,19.179552248264734
9264,1.0,0.0,0.24,0.05,83.33333333333333,83.33333333333333,10.819160103481062
9265,1.0,0.0,0.24,0.05,83.33333333333333,91.66666666666667,2.777191515662687
9266,1.0,0.0,0.24,0.05,83.33333333333333,100.00000000000001,0.025954892764217016
9267,1.0,0.0,0.24,0.05,83.33333333333333,108.33333333333333,0.0
9268,1.0,0.0,0.24,0.05,94.44444444444444,66.1111111111111,40.640605037006274
9269,1.0,0.0,0.24,0.05,94.44444444444444,75.55555555555554,31.143583065529995
9270,1.0,0.0,0.24,0.05,94.44444444444444,85.0,21.76419389212127
9271,1.0,0.0,0.24,0.05,94.44444444444444,94.44444444444444,12.318517018714939
9272,1.0,0.0,0.24,0.05,94.44444444444444,103.8888888888889,3.164158278167077
9273,1.0,0.0,0.24,0.05,94.44444444444444,113.33333333333334,0.032120632161787344
9274,1.0,0.0,0.24,0.05,94.44444444444444,122.77777777777779,0.0
9275,1.0,0.0,0.24,0.05,105.55555555555556,73.88888888888889,45.42971456365887
9276,1.0,0.0,0.24,0.05,105.55555555555556,84.44444444444444,34.88607483334635
9277,1.0,0.0,0.24,0.05,105.55555555555556,95.0,24.319149975155767
9278,1.0,0.0,0.24,0.05,105.55555555555556,105.55555555555556,13.715821497957126
9279,1.0,0.0,0.24,0.05,105.55555555555556,116.11111111111113,3.5580011875311386
9280,1.0,0.0,0.24,0.05,105.55555555555556,126.66666666666669,0.025073614352419088
9281,1.0,0.0,0.24,0.05,105.55555555555556,137.22222222222223,0.0
9282,1.0,0.0,0.24,0.05,116.66666666666666,81.66666666666666,50.15396194849879
9283,1.0,0.0,0.24,0.05,116.66666666666666,93.33333333333331,38.5756970275876
9284,1.0,0.0,0.24,0.05,116.66666666666666,105.0,26.888129315563287
9285,1.0,0.0,0.24,0.05,116.66666666666666,116.66666666666666,15.210673951823955
9286,1.0,0.0,0.24,0.05,116.66666666666666,128.33333333333334,3.877352900770637
9287,1.0,0.0,0.24,0.05,116.66666666666666,140.0,0.03974264159931968
9288,1.0,0.0,0.24,0.05,116.66666666666666,151.66666666666666,0.0
9289,1.0,0.0,0.24,0.05,127.77777777777777,89.44444444444443,54.95258011811294
9290,1.0,0.0,0.24,0.05,127.77777777777777,102.22222222222221,42.25964485151428
9291,1.0,0.0,0.24,0.05,127.77777777777777,115.0,29.428206885586196
9292,1.0,0.0,0.24,0.05,127.77777777777777,127.77777777777777,16.591215955117043
9293,1.0,0.0,0.24,0.05,127.77777777777777,140.55555555555557,4.252889093032933
9294,1.0,0.0,0.24,0.05,127.77777777777777,153.33333333333334,0.034019640721398715
9295,1.0,0.0,0.24,0.05,127.77777777777777,166.11111111111111,0.0
9296,1.0,0.0,0.24,0.05,138.88888888888889,97.22222222222221,59.73745964659783
9297,1.0,0.0,0.24,0.05,138.88888888888889,111.1111111111111,45.813495022652795
9298,1.0,0.0,0.24,0.05,138.88888888888889,125.0,31.951852014496165
9299,1.0,0.0,0.24,0.05,138.88888888888889,138.88888888888889,18.108486260311633
9300,1.0,0.0,0.24,0.05,138.88888888888889,152.7777777777778,4.62203846958117
9301,1.0,0.0,0.24,0.05,138.88888888888889,166.66666666666669,0.04376861031330818
9302,1.0,0.0,0.24,0.05,138.88888888888889,180.55555555555557,0.0
9303,1.0,0.0,0.24,0.05,150.0,105.0,64.48572284100788
9304,1.0,0.0,0.24,0.05,150.0,119.99999999999999,49.48405209472669
9305,1.0,0.0,0.24,0.05,150.0,135.0,34.46931165103617
9306,1.0,0.0,0.24,0.05,150.0,150.0,19.65017576893893
9307,1.0,0.0,0.24,0.05,150.0,165.0,5.035366422027738
9308,1.0,0.0,0.24,0.05,150.0,180.00000000000003,0.04443636353640746
9309,1.0,0.0,0.24,0.05,150.0,195.0,0.0
9310,1.0,0.0,0.24,0.12000000000000001,50.0,35.0,21.57041500912455
