,T,n_step,r,mu,sigma,S0,K,Price
4670,0.5,132.0,0.03,0.3,0.05,127.77777777777777,102.22222222222221,35.14227249503197
4671,0.5,132.0,0.03,0.3,0.05,127.77777777777777,115.0,22.457740429109315
4672,0.5,132.0,0.03,0.3,0.05,127.77777777777777,127.77777777777777,9.983503605263017
4673,0.5,132.0,0.03,0.3,0.05,127.77777777777777,140.55555555555557,0.26277409455338524
4674,0.5,132.0,0.03,0.3,0.05,127.77777777777777,153.33333333333334,0.0
4675,0.5,132.0,0.03,0.3,0.05,127.77777777777777,166.11111111111111,0.0
4676,0.5,132.0,0.03,0.3,0.05,138.88888888888889,97.22222222222221,51.862781259673376
4677,0.5,132.0,0.03,0.3,0.05,138.88888888888889,111.1111111111111,38.149445040665874
4678,0.5,132.0,0.03,0.3,0.05,138.88888888888889,125.0,24.49910211931138
4679,0.5,132.0,0.03,0.3,0.05,138.88888888888889,138.88888888888889,10.802041553273334
4680,0.5,132.0,0.03,0.3,0.05,138.88888888888889,152.7777777777778,0.2907218217160966
4681,0.5,132.0,0.03,0.3,0.05,138.88888888888889,166.66666666666669,0.0
4682,0.5,132.0,0.03,0.3,0.05,138.88888888888889,180.55555555555557,0.0
4683,0.5,132.0,0.03,0.3,0.05,150.0,105.0,56.04814803514633
4684,0.5,132.0,0.03,0.3,0.05,150.0,119.99999999999999,41.2241936053796
4685,0.5,132.0,0.03,0.3,0.05,150.0,135.0,26.433245125124785
4686,0.5,132.0,0.03,0.3,0.05,150.0,150.0,11.531232677897494
4687,0.5,132.0,0.03,0.3,0.05,150.0,165.0,0.2973453807626703
4688,0.5,132.0,0.03,0.3,0.05,150.0,180.00000000000003,0.0
4689,0.5,132.0,0.03,0.3,0.05,150.0,195.0,0.0
4690,0.5,132.0,0.03,0.3,0.12000000000000001,50.0,35.0,18.661451072357572
4691,0.5,132.0,0.03,0.3,0.12000000000000001,50.0,40.0,13.71003880277008
4692,0.5,132.0,0.03,0.3,0.12000000000000001,50.0,45.0,8.849483744907912
4693,0.5,132.0,0.03,0.3,0.12000000000000001,50.0,50.0,3.9400422190702833
4694,0.5,132.0,0.03,0.3,0.12000000000000001,50.0,55.00000000000001,0.6007761404541001
4695,0.5,132.0,0.03,0.3,0.12000000000000001,50.0,60.00000000000001,0.020108069820240392
4696,0.5,132.0,0.03,0.3,0.12000000000000001,50.0,65.0,0.0002709224643419375
4697,0.5,132.0,0.03,0.3,0.12000000000000001,61.111111111111114,42.77777777777778,22.779145737061846
4698,0.5,132.0,0.03,0.3,0.12000000000000001,61.111111111111114,48.888888888888886,16.8379372665183
4699,0.5,132.0,0.03,0.3,0.12000000000000001,61.111111111111114,55.00000000000001,10.690343099436298
